#CREATED JANUARY 2020, LAUREN MEE, UNIVERSITY OF LIVERPOOL
#LIST OF NCBI TRANSCRIPTS ASSOCIATED WITH IMMUNITY IN APIS MELLIFERA (AmelHAv3.1, GCF_003254395.2) WITH GENE AND PROTEIN IDS, AND "CLASS" (CANON/NONCANON)
#CANONICAL IMMUNITY DETERMINED FROM EVANS ET AL 2006, NCBI BIOSYSTEMS PATHWAY RESOURCES AND USE OF OTHODB
#CANDIDATE NON-CANONICAL IMMUNITY BASED UPON THE COMBINED WORKS OF ALAUX ET AL 2011, RICHARD ET AL 2012 AND DOUBLET ET AL 2017.
TranscriptID	GeneID	ProteinID	Class
XM_016916165.2	LOC413909	XP_016771654.2	NonCanon
XM_016916219.2	LOC107965508	XP_016771708.1	NonCanon
XM_016916309.2	LOC551100	XP_016771798.1	Canon
XM_016916414.2	LOC102653879	XP_016771903.2	NonCanon
XM_016916441.2	LOC411839	XP_016771930.2	NonCanon
XM_016916454.2	LOC552654	XP_016771943.1	NonCanon
XM_016916523.2	LOC410582	XP_016772012.1	NonCanon
XM_016916525.2	LOC725824	XP_016772014.1	NonCanon
XM_016916592.1	LOC102653771	XP_016772081.1	NonCanon
XM_016916628.2	LOC552795	XP_016772117.1	NonCanon
XM_016916702.2	LOC410577	XP_016772191.1	NonCanon
XM_016916765.2	LOC409180	XP_016772254.2	NonCanon
XM_016916928.2	LOC412470	XP_016772417.1	NonCanon
XM_016916945.2	LOC551799	XP_016772434.2	NonCanon
XM_016917034.2	LOC552086	XP_016772523.1	NonCanon
XM_016917056.2	LOC550989	XP_016772545.1	NonCanon
XM_016917176.2	LOC102656403	XP_016772665.2	NonCanon
XM_016917222.2	LOC100578943	XP_016772711.1	NonCanon
XM_016917414.2	LOC409388	XP_016772903.1	NonCanon
XM_016917466.2	LOC552599	XP_016772955.1	NonCanon
XM_016917475.2	LOC552662	XP_016772964.1	NonCanon
XM_016917556.2	LOC409032	XP_016773045.1	NonCanon
XM_016917733.2	LOC408577	XP_016773222.2	Canon
XM_016917845.2	LOC725318	XP_016773334.2	NonCanon
XM_016917895.2	LOC107963993	XP_016773384.2	NonCanon
XM_016917929.2	LOC412195	XP_016773418.1	NonCanon
XM_016917950.2	LOC724950	XP_016773439.2	Canon
XM_016918056.2	LOC408699	XP_016773545.1	NonCanon
XM_016918086.1	LOC408668	XP_016773575.1	NonCanon
XM_016918129.2	LOC725958	XP_016773618.1	NonCanon
XM_026438849.1	LOC550695	XP_026294634.1	NonCanon
XM_026438940.1	LOC726187	XP_026294725.1	Canon
XM_026438958.1	LOC100576862	XP_026294743.1	NonCanon
XM_026438966.1	LOC411906	XP_026294751.1	NonCanon
XM_026438976.1	LOC409530	XP_026294761.1	NonCanon
XM_026439065.1	LOC410879	XP_026294850.1	NonCanon
XM_026439070.1	LOC726760	XP_026294855.1	Canon
XM_026439095.1	LOC408661	XP_026294880.1	NonCanon
XM_026439140.1	LOC724669	XP_026294925.1	NonCanon
XM_026439152.1	LOC410087	XP_026294937.1	NonCanon
XM_026439244.1	LOC725491	XP_026295029.1	NonCanon
XM_026439353.1	LOC725068	XP_026295138.1	Canon
XM_026439396.1	LOC411376	XP_026295181.1	NonCanon
XM_026439464.1	LOC551970	XP_026295249.1	Canon
XM_026439466.1	LOC410091	XP_026295251.1	NonCanon
XM_026439502.1	LOC410911	XP_026295287.1	NonCanon
XM_026439524.1	LOC551457	XP_026295309.1	NonCanon
XM_026439529.1	LOC413233	XP_026295314.1	NonCanon
XM_026439633.1	LOC100577044	XP_026295418.1	NonCanon
XM_026439657.1	LOC551484	XP_026295442.1	NonCanon
XM_026439672.1	LOC410907	XP_026295457.1	NonCanon
XM_026439700.1	LOC724215	XP_026295485.1	NonCanon
XM_026439727.1	LOC410117	XP_026295512.1	NonCanon
XM_026439745.1	LOC726562	XP_026295530.1	Canon
XM_026439846.1	LOC113218670	XP_026295631.1	NonCanon
XM_026439981.1	LOC552451	XP_026295766.1	NonCanon
XM_026440020.1	LOC552283	XP_026295805.1	NonCanon
XM_026440032.1	LOC406139	XP_026295817.1	Canon
XM_026440041.1	LOC726980	XP_026295826.1	NonCanon
XM_026440047.1	LOC107964284	XP_026295832.1	NonCanon
XM_026440074.1	LOC100576898	XP_026295859.1	NonCanon
XM_026440087.1	LOC726826	XP_026295872.1	NonCanon
XM_026440105.1	LOC727166	XP_026295890.1	NonCanon
XM_026440108.1	LOC412166	XP_026295893.1	NonCanon
XM_026440117.1	LOC113218517	XP_026295902.1	NonCanon
XM_026440144.1	LOC724890	XP_026295929.1	NonCanon
XM_026440157.1	LOC408774	XP_026295942.1	NonCanon
XM_026440175.1	LOC412540	XP_026295960.1	NonCanon
XM_026440195.1	LOC408793	XP_026295980.1	NonCanon
XM_026440199.1	LOC724303	XP_026295984.1	Canon
XM_026440201.1	LOC551664	XP_026295986.1	Canon
XM_026440279.1	LOC552249	XP_026296064.1	Canon
XM_026440370.1	LOC552417	XP_026296155.1	NonCanon
XM_026440375.1	LOC107965749	XP_026296160.1	NonCanon
XM_026440380.1	LOC724226	XP_026296165.1	NonCanon
XM_026440384.1	LOC100576797	XP_026296169.1	NonCanon
XM_026440389.1	LOC113218558	XP_026296174.1	NonCanon
XM_026440411.1	LOC413638	XP_026296196.1	NonCanon
XM_026440442.1	LOC725266	XP_026296227.1	NonCanon
XM_026440451.1	LOC409051	XP_026296236.1	Canon
XM_026440488.1	LOC100576383	XP_026296273.1	NonCanon
XM_026440515.1	LOC725942	XP_026296300.1	NonCanon
XM_026440538.1	LOC724540	XP_026296323.1	NonCanon
XM_026440554.1	LOC725146	XP_026296339.1	NonCanon
XM_026440572.1	LOC725569	XP_026296357.1	NonCanon
XM_026440588.1	LOC552566	XP_026296373.1	NonCanon
XM_026440646.1	LOC725551	XP_026296431.1	Canon
XM_026440653.1	LOC409334	XP_026296438.1	Canon
XM_026440664.1	LOC725362	XP_026296449.1	NonCanon
XM_026440687.1	LOC550749	XP_026296472.1	NonCanon
XM_026440700.1	LOC107965828	XP_026296485.1	NonCanon
XM_026440704.1	LOC725899	XP_026296489.1	Canon
XM_026440745.1	LOC725404	XP_026296530.1	Canon
XM_026440746.1	LOC100578893	XP_026296531.1	NonCanon
XM_026440757.1	LOC410097	XP_026296542.1	NonCanon
XM_026440780.1	LOC100578156	XP_026296565.1	Canon
XM_026440826.1	LOC411115	XP_026296611.1	Canon
XM_026440844.1	LOC724431	XP_026296629.1	NonCanon
XM_026440888.1	LOC726286	XP_026296673.1	Canon
XM_026440893.1	LOC725529	XP_026296678.1	NonCanon
XM_026440904.1	LOC727022	XP_026296689.1	NonCanon
XM_026440915.1	LOC100578576	XP_026296700.1	NonCanon
XM_026440922.1	LOC551619	XP_026296707.1	NonCanon
XM_026440965.1	LOC107964419	XP_026296750.1	NonCanon
XM_026440989.1	LOC552441	XP_026296774.1	NonCanon
XM_026441019.1	LOC726497	XP_026296804.1	Canon
XM_026441022.1	LOC726530	XP_026296807.1	NonCanon
XM_026441054.1	LOC724169	XP_026296839.1	Canon
XM_026441127.1	LOC100576337	XP_026296912.1	NonCanon
XM_026441134.1	LOC727202	XP_026296919.1	NonCanon
XM_026441139.1	LOC100577764	XP_026296924.1	Canon
XM_026441164.1	LOC724221	XP_026296949.1	NonCanon
XM_026441192.1	LOC724656	XP_026296977.1	NonCanon
XM_026441255.1	LOC725770	XP_026297040.1	Canon
XM_026441273.1	LOC724350	XP_026297058.1	NonCanon
XM_026441345.1	LOC102654365	XP_026297130.1	NonCanon
XM_026441371.1	LOC411639	XP_026297156.1	Canon
XM_026441421.1	LOC724389	XP_026297206.1	NonCanon
XM_026441448.1	LOC412339	XP_026297233.1	NonCanon
XM_026441493.1	LOC408867	XP_026297278.1	NonCanon
XM_026441514.1	LOC410159	XP_026297299.1	NonCanon
XM_026441547.1	LOC724323	XP_026297332.1	NonCanon
XM_026441587.1	LOC408934	XP_026297372.1	NonCanon
XM_026441601.1	LOC412332	XP_026297386.1	NonCanon
XM_026441606.1	LOC726823	XP_026297391.1	NonCanon
XM_026441647.1	LOC100577763	XP_026297432.1	NonCanon
XM_026441684.1	LOC413873	XP_026297469.1	NonCanon
XM_026441724.1	LOC724863	XP_026297509.1	NonCanon
XM_026441739.1	LOC726401	XP_026297524.1	NonCanon
XM_026441778.1	LOC724798	XP_026297563.1	NonCanon
XM_026441850.1	LOC100577972	XP_026297635.1	NonCanon
XM_026441868.1	LOC408953	XP_026297653.1	NonCanon
XM_026441896.1	LOC102655814	XP_026297681.1	NonCanon
XM_026442009.1	LOC411223	XP_026297794.1	NonCanon
XM_026442024.1	LOC413616	XP_026297809.1	NonCanon
XM_026442032.1	LOC100577519	XP_026297817.1	NonCanon
XM_026442084.1	LOC412950	XP_026297869.1	NonCanon
XM_026442114.1	LOC551261	XP_026297899.1	NonCanon
XM_026442132.1	LOC726500	XP_026297917.1	Canon
XM_026442210.1	LOC552794	XP_026297995.1	NonCanon
XM_026442214.1	LOC552685	XP_026297999.1	NonCanon
XM_026442245.1	LOC726890	XP_026298030.1	NonCanon
XM_026442262.1	LOC409814	XP_026298047.1	Canon
XM_026442266.1	LOC724320	XP_026298051.1	NonCanon
XM_026442311.1	LOC100577053	XP_026298096.1	NonCanon
XM_026442375.1	LOC726822	XP_026298160.1	NonCanon
XM_026442378.1	LOC726315	XP_026298163.1	NonCanon
XM_026442382.1	LOC726872	XP_026298167.1	NonCanon
XM_026442383.1	LOC724443	XP_026298168.1	NonCanon
XM_026442492.1	LOC413914	XP_026298277.1	NonCanon
XM_026442498.1	LOC100577408	XP_026298283.1	Canon
XM_026442500.1	LOC408961	XP_026298285.1	NonCanon
XM_026442675.1	LOC725486	XP_026298460.1	NonCanon
XM_026442701.1	LOC409249	XP_026298486.1	NonCanon
XM_026442719.1	LOC551880	XP_026298504.1	NonCanon
XM_026442721.1	LOC413917	XP_026298506.1	NonCanon
XM_026442727.1	LOC408996	XP_026298512.1	NonCanon
XM_026442773.1	LOC412647	XP_026298558.1	Canon
XM_026442788.1	LOC100576085	XP_026298573.1	NonCanon
XM_026442798.1	LOC409036	XP_026298583.1	Canon
XM_026442841.1	LOC113218539	XP_026298626.1	NonCanon
XM_026442871.1	LOC552674	XP_026298656.1	NonCanon
XM_026442872.1	LOC552245	XP_026298657.1	NonCanon
XM_026442878.1	LOC725024	XP_026298663.1	Canon
XM_026442924.1	LOC727630	XP_026298709.1	Canon
XM_026442948.1	LOC409465	XP_026298733.1	NonCanon
XM_026442968.1	LOC411301	XP_026298753.1	NonCanon
XM_026443087.1	LOC726237	XP_026298872.1	NonCanon
XM_026443098.1	LOC551435	XP_026298883.1	NonCanon
XM_026443099.1	LOC727048	XP_026298884.1	NonCanon
XM_026443123.1	LOC551589	XP_026298908.1	NonCanon
XM_026443124.1	LOC411691	XP_026298909.1	NonCanon
XM_026443134.1	LOC725579	XP_026298919.1	NonCanon
XM_026443137.1	LOC726983	XP_026298922.1	NonCanon
XM_026443177.1	LOC725603	XP_026298962.1	NonCanon
XM_026443195.1	LOC552549	XP_026298980.1	Canon
XM_026443202.1	LOC724907	XP_026298987.1	NonCanon
XM_026443210.1	LOC102655612	XP_026298995.1	NonCanon
XM_026443226.1	LOC409361	XP_026299011.1	NonCanon
XM_026443243.1	LOC725611	XP_026299028.1	NonCanon
XM_026443287.1	LOC551231	XP_026299072.1	NonCanon
XM_026443291.1	LOC102654349	XP_026299076.1	NonCanon
XM_026443292.1	LOC409673	XP_026299077.1	NonCanon
XM_026443298.1	LOC412458	XP_026299083.1	NonCanon
XM_026443317.1	LOC552360	XP_026299102.1	NonCanon
XM_026443330.1	LOC725539	XP_026299115.1	NonCanon
XM_026443465.1	LOC413758	XP_026299250.1	NonCanon
XM_026443490.1	LOC412051	XP_026299275.1	NonCanon
XM_026443541.1	LOC410337	XP_026299326.1	NonCanon
XM_026443592.1	LOC107965250	XP_026299377.1	NonCanon
XM_026443655.1	LOC100576646	XP_026299440.1	NonCanon
XM_026443666.1	LOC551379	XP_026299451.1	NonCanon
XM_026443677.1	LOC727495	XP_026299462.1	NonCanon
XM_026443684.1	LOC102655523	XP_026299469.1	NonCanon
XM_026443685.1	LOC113219083	XP_026299470.1	NonCanon
XM_026443689.1	LOC410318	XP_026299474.1	NonCanon
XM_026443716.1	LOC411719	XP_026299501.1	NonCanon
XM_026443734.1	LOC410286	XP_026299519.1	NonCanon
XM_026443777.1	LOC412222	XP_026299562.1	NonCanon
XM_026443779.1	LOC100577735	XP_026299564.1	NonCanon
XM_026443803.1	LOC107965795	XP_026299588.1	NonCanon
XM_026443808.1	LOC727299	XP_026299593.1	NonCanon
XM_026443816.1	LOC100578030	XP_026299601.1	Canon
XM_026443850.1	LOC409171	XP_026299635.1	NonCanon
XM_026443859.1	LOC725780	XP_026299644.1	NonCanon
XM_026443903.1	LOC100577456	XP_026299688.1	NonCanon
XM_026443935.1	LOC100576185	XP_026299720.1	NonCanon
XM_026443959.1	LOC408369	XP_026299744.1	NonCanon
XM_026443994.1	LOC107965225	XP_026299779.1	NonCanon
XM_026444015.1	LOC102655948	XP_026299800.1	NonCanon
XM_026444063.1	LOC725351	XP_026299848.1	NonCanon
XM_026444070.1	LOC552626	XP_026299855.1	NonCanon
XM_026444071.1	LOC406097	XP_026299856.1	Canon
XM_026444108.1	LOC552375	XP_026299893.1	Canon
XM_026444140.1	LOC550829	XP_026299925.1	NonCanon
XM_026444178.1	LOC552247	XP_026299963.1	Canon
XM_026444246.1	LOC412884	XP_026300031.1	Canon
XM_026444251.1	LOC552156	XP_026300036.1	NonCanon
XM_026444402.1	LOC100578329	XP_026300187.1	NonCanon
XM_026444411.1	LOC724292	XP_026300196.1	NonCanon
XM_026444446.1	LOC724407	XP_026300231.1	NonCanon
XM_026444467.1	LOC724291	XP_026300252.1	Canon
XM_026444578.1	LOC408430	XP_026300363.1	NonCanon
XM_026444596.1	LOC725856	XP_026300381.1	NonCanon
XM_026444610.1	LOC100576819	XP_026300395.1	Canon
XM_026444710.1	LOC107965163	XP_026300495.1	NonCanon
XM_026444764.1	LOC725111	XP_026300549.1	Canon
XM_026444790.1	LOC107965398	XP_026300575.1	NonCanon
XM_026444922.1	LOC726227	XP_026300707.1	NonCanon
XM_026444925.1	LOC727378	XP_026300710.1	NonCanon
XM_026444928.1	LOC727320	XP_026300713.1	NonCanon
XM_026444931.1	LOC726928	XP_026300716.1	NonCanon
XM_026444954.1	LOC410559	XP_026300739.1	Canon
XM_026444987.1	LOC724159	XP_026300772.1	NonCanon
XM_026445011.1	LOC413579	XP_026300796.1	NonCanon
XM_026445202.1	LOC726259	XP_026300987.1	NonCanon
XM_026445205.1	LOC551709	XP_026300990.1	NonCanon
XM_026445206.1	LOC551651	XP_026300991.1	NonCanon
XM_026445211.1	LOC113218534	XP_026300996.1	NonCanon
XM_026445250.1	LOC725149	XP_026301035.1	NonCanon
XM_026445312.1	LOC726302	XP_026301097.1	NonCanon
XM_026445320.1	LOC726863	XP_026301105.1	NonCanon
XM_026445327.1	LOC725088	XP_026301112.1	Canon
XM_026445332.1	LOC552479	XP_026301117.1	NonCanon
XM_026445412.1	LOC727429	XP_026301197.1	NonCanon
XM_026445454.1	LOC725505	XP_026301239.1	NonCanon
XM_026445471.1	LOC725250	XP_026301256.1	NonCanon
XM_026445482.1	LOC411466	XP_026301267.1	NonCanon
XM_026445509.1	LOC727622	XP_026301294.1	NonCanon
XM_026445625.1	LOC724421	XP_026301410.1	NonCanon
XM_026445630.1	LOC100576115	XP_026301415.1	NonCanon
XM_026445672.1	LOC724865	XP_026301457.1	NonCanon
XM_026445708.1	LOC100578071	XP_026301493.1	NonCanon
XM_026445722.1	LOC102654610	XP_026301507.1	NonCanon
XM_026445748.1	LOC100578035	XP_026301533.1	NonCanon
XM_026445939.1	LOC413534	XP_026301724.1	NonCanon
XM_026445948.1	LOC102654368	XP_026301733.1	NonCanon
XM_026445984.1	LOC107965922	XP_026301769.1	NonCanon
XM_026445999.1	LOC725044	XP_026301784.1	NonCanon
XM_026446035.1	LOC724948	XP_026301820.1	NonCanon
XM_026446139.1	LOC551356	XP_026301924.1	NonCanon
XM_026446194.1	LOC725343	XP_026301979.1	NonCanon
XM_026446211.1	LOC412948	XP_026301996.1	NonCanon
XM_026446273.1	LOC726218	XP_026302058.1	NonCanon
XM_026446279.1	LOC726766	XP_026302064.1	Canon
XM_026446345.1	LOC551530	XP_026302130.1	NonCanon
XM_026446403.1	LOC100576649	XP_026302188.1	NonCanon
XM_026446439.1	LOC100576818	XP_026302224.1	NonCanon
XM_026446460.1	LOC107964089	XP_026302245.1	NonCanon
XM_026446461.1	LOC724471	XP_026302246.1	NonCanon
XM_026446509.1	LOC102655388	XP_026302294.1	NonCanon
XM_391948.7	LOC408400	XP_391948.3	NonCanon
XM_391975.6	LOC408428	XP_391975.4	NonCanon
XM_392044.7	LOC408501	XP_392044.2	Canon
XM_392055.7	LOC408511	XP_392055.2	NonCanon
XM_392065.7	LOC408520	XP_392065.2	NonCanon
XM_392115.7	LOC408573	XP_392115.1	NonCanon
XM_392117.7	LOC408575	XP_392117.2	NonCanon
XM_392223.7	LOC408687	XP_392223.2	NonCanon
XM_392263.7	LOC408728	XP_392263.1	NonCanon
XM_392313.7	LOC408782	XP_392313.1	Canon
XM_392346.7	LOC408815	XP_392346.4	NonCanon
XM_392359.7	LOC408827	XP_392359.2	NonCanon
XM_392364.6	LOC408833	XP_392364.4	NonCanon
XM_392365.5	LOC408834	XP_392365.1	Canon
XM_392401.7	LOC408871	XP_392401.3	NonCanon
XM_392423.7	LOC408892	XP_392423.2	NonCanon
XM_392521.7	LOC408989	XP_392521.3	NonCanon
XM_392556.6	LOC409026	XP_392556.3	NonCanon
XM_392569.6	LOC409041	XP_392569.2	NonCanon
XM_392599.7	LOC409074	XP_392599.1	Canon
XM_392624.7	LOC409098	XP_392624.5	NonCanon
XM_392640.7	LOC409115	XP_392640.1	NonCanon
XM_392650.7	LOC409125	XP_392650.4	Canon
XM_392651.6	LOC409126	XP_392651.2	NonCanon
XM_392681.6	LOC409157	XP_392681.2	NonCanon
XM_392698.7	LOC409173	XP_392698.3	NonCanon
XM_392704.7	LOC409179	XP_392704.2	NonCanon
XM_392711.7	LOC409187	XP_392711.4	Canon
XM_392725.7	LOC409201	XP_392725.1	NonCanon
XM_392727.7	LOC409203	XP_392727.4	NonCanon
XM_392750.7	LOC409226	XP_392750.1	Canon
XM_392816.7	LOC409298	XP_392816.2	Canon
XM_392826.7	LOC409308	XP_392826.1	NonCanon
XM_392837.7	LOC409320	XP_392837.4	NonCanon
XM_392845.7	LOC409329	XP_392845.4	NonCanon
XM_392857.6	LOC409341	XP_392857.2	Canon
XM_392880.7	LOC409365	XP_392880.5	Canon
XM_392901.7	LOC409386	XP_392901.2	Canon
XM_392920.7	LOC409405	XP_392920.1	Canon
XM_392925.6	LOC409410	XP_392925.3	NonCanon
XM_392954.5	LOC409441	XP_392954.1	NonCanon
XM_392993.7	LOC409485	XP_392993.2	NonCanon
XM_393029.7	LOC409523	XP_393029.2	Canon
XM_393044.7	LOC409538	XP_393044.4	NonCanon
XM_393065.7	LOC409557	XP_393065.4	NonCanon
XM_393089.7	LOC409586	XP_393089.1	NonCanon
XM_393110.7	LOC409607	XP_393110.1	NonCanon
XM_393165.7	LOC409667	XP_393165.3	Canon
XM_393186.7	LOC409689	XP_393186.1	NonCanon
XM_393208.7	LOC409709	XP_393208.1	Canon
XM_393223.7	LOC409725	XP_393223.1	Canon
XM_393224.7	LOC409726	XP_393224.2	NonCanon
XM_393237.7	LOC409740	XP_393237.4	NonCanon
XM_393262.7	LOC409769	XP_393262.1	NonCanon
XM_393285.7	LOC409791	XP_393285.1	Canon
XM_393293.7	LOC409801	XP_393293.2	NonCanon
XM_393324.7	LOC409833	XP_393324.2	NonCanon
XM_393342.7	LOC409852	XP_393342.3	NonCanon
XM_393347.6	LOC409857	XP_393347.3	NonCanon
XM_393353.6	LOC409863	XP_393353.2	NonCanon
XM_393381.7	LOC409890	XP_393381.2	NonCanon
XM_393391.7	LOC409900	XP_393391.1	NonCanon
XM_393396.6	LOC409905	XP_393396.2	NonCanon
XM_393403.7	LOC409912	XP_393403.3	NonCanon
XM_393411.6	LOC409920	XP_393411.1	Canon
XM_393416.7	LOC409925	XP_393416.2	Canon
XM_393419.7	LOC409928	XP_393419.3	NonCanon
XM_393421.5	LOC409930	XP_393421.1	NonCanon
XM_393437.7	LOC409945	XP_393437.3	NonCanon
XM_393438.6	LOC409946	XP_393438.2	Canon
XM_393452.7	LOC409962	XP_393452.4	NonCanon
XM_393466.7	LOC409976	XP_393466.2	NonCanon
XM_393487.7	LOC409999	XP_393487.3	Canon
XM_393493.6	LOC410005	XP_393493.3	NonCanon
XM_393545.7	LOC410059	XP_393545.2	NonCanon
XM_393651.6	LOC410167	XP_393651.3	NonCanon
XM_393670.7	LOC410187	XP_393670.5	NonCanon
XM_393727.6	LOC410245	XP_393727.2	NonCanon
XM_393743.6	LOC410262	XP_393743.4	NonCanon
XM_393764.7	LOC410283	XP_393764.2	NonCanon
XM_393819.7	LOC410338	XP_393819.4	NonCanon
XM_393856.6	LOC410376	XP_393856.2	NonCanon
XM_393875.4	LOC410395	XP_393875.1	NonCanon
XM_393894.7	LOC410414	XP_393894.1	NonCanon
XM_393900.7	LOC410420	XP_393900.2	NonCanon
XM_393964.6	LOC410485	XP_393964.2	NonCanon
XM_393973.6	LOC410494	XP_393973.2	NonCanon
XM_393989.7	LOC410510	XP_393989.4	Canon
XM_394004.7	LOC410525	XP_394004.2	NonCanon
XM_394029.6	LOC410550	XP_394029.5	NonCanon
XM_394040.7	LOC410561	XP_394040.3	NonCanon
XM_394050.7	LOC410571	XP_394050.5	NonCanon
XM_394061.6	LOC410583	XP_394061.2	NonCanon
XM_394092.7	LOC410614	XP_394092.3	Canon
XM_394142.7	LOC410665	XP_394142.4	NonCanon
XM_394287.7	LOC410811	XP_394287.5	NonCanon
XM_394313.7	LOC410837	XP_394313.1	NonCanon
XM_394416.7	LOC410940	XP_394416.4	NonCanon
XM_394419.7	LOC410943	XP_394419.2	NonCanon
XM_394428.5	LOC410952	XP_394428.1	NonCanon
XM_394460.7	LOC410985	XP_394460.1	NonCanon
XM_394469.6	LOC410994	XP_394469.1	Canon
XM_394471.5	LOC410996	XP_394471.1	Canon
XM_394485.7	LOC411012	XP_394485.2	Canon
XM_394487.7	LOC411014	XP_394487.2	NonCanon
XM_394516.6	LOC411043	XP_394516.2	NonCanon
XM_394574.7	LOC411100	XP_394574.3	NonCanon
XM_394614.7	LOC411140	XP_394614.1	NonCanon
XM_394637.7	LOC411163	XP_394637.2	NonCanon
XM_394641.7	LOC411167	XP_394641.3	NonCanon
XM_394665.7	LOC411191	XP_394665.1	NonCanon
XM_394722.7	LOC411249	XP_394722.5	NonCanon
XM_394733.7	LOC411260	XP_394733.2	NonCanon
XM_394768.7	LOC411294	XP_394768.4	NonCanon
XM_394769.7	LOC411295	XP_394769.2	Canon
XM_394855.6	LOC411381	XP_394855.4	NonCanon
XM_394865.7	LOC411391	XP_394865.3	NonCanon
XM_394882.7	LOC411408	XP_394882.2	NonCanon
XM_394948.7	LOC411473	XP_394948.6	NonCanon
XM_394949.6	LOC411474	XP_394949.4	NonCanon
XM_394982.6	LOC411509	XP_394982.4	NonCanon
XM_395011.7	LOC411540	XP_395011.2	NonCanon
XM_395023.7	LOC411552	XP_395023.4	NonCanon
XM_395048.6	LOC411577	XP_395048.4	Canon
XM_395122.5	LOC411654	XP_395122.1	NonCanon
XM_395166.7	LOC411698	XP_395166.2	NonCanon
XM_395180.7	LOC411712	XP_395180.5	Canon
XM_395200.7	LOC411732	XP_395200.2	NonCanon
XM_395224.6	LOC411757	XP_395224.3	NonCanon
XM_395256.7	LOC411789	XP_395256.3	NonCanon
XM_395266.7	LOC411799	XP_395266.4	NonCanon
XM_395283.7	LOC411816	XP_395283.4	Canon
XM_395323.6	LOC411856	XP_395323.2	NonCanon
XM_395342.7	LOC411875	XP_395342.4	NonCanon
XM_395371.7	LOC411902	XP_395371.3	NonCanon
XM_395373.6	LOC411904	XP_395373.3	NonCanon
XM_395404.7	LOC411935	XP_395404.2	NonCanon
XM_395412.5	LOC411943	XP_395412.2	NonCanon
XM_395451.7	LOC411985	XP_395451.4	NonCanon
XM_395471.6	LOC412005	XP_395471.3	NonCanon
XM_395493.6	LOC412027	XP_395493.4	NonCanon
XM_395496.7	LOC412030	XP_395496.2	NonCanon
XM_395530.5	LOC412064	XP_395530.1	NonCanon
XM_395548.7	LOC412082	XP_395548.2	NonCanon
XM_395563.7	LOC412097	XP_395563.4	Canon
XM_395614.6	LOC412150	XP_395614.3	NonCanon
XM_395632.7	LOC412169	XP_395632.3	NonCanon
XM_395694.6	LOC412232	XP_395694.2	NonCanon
XM_395697.7	LOC412235	XP_395697.2	Canon
XM_395755.7	LOC412294	XP_395755.2	NonCanon
XM_395770.6	LOC412309	XP_395770.1	NonCanon
XM_395826.7	LOC412366	XP_395826.2	NonCanon
XM_395924.5	LOC412467	XP_395924.2	NonCanon
XM_395981.7	LOC412526	XP_395981.2	NonCanon
XM_396009.7	LOC412554	XP_396009.2	NonCanon
XM_396028.7	LOC412573	XP_396028.5	NonCanon
XM_396035.6	LOC412580	XP_396035.2	NonCanon
XM_396074.6	LOC412619	XP_396074.2	NonCanon
XM_396079.6	LOC412624	XP_396079.3	NonCanon
XM_396126.6	LOC412670	XP_396126.2	NonCanon
XM_396131.7	LOC412675	XP_396131.3	NonCanon
XM_396142.7	LOC412687	XP_396142.4	Canon
XM_396145.7	LOC412690	XP_396145.2	NonCanon
XM_396203.7	LOC412750	XP_396203.4	NonCanon
XM_396215.7	LOC412762	XP_396215.1	NonCanon
XM_396254.7	LOC412801	XP_396254.6	NonCanon
XM_396321.6	LOC412869	XP_396321.3	NonCanon
XM_396338.7	LOC412886	XP_396338.2	Canon
XM_396341.6	LOC412889	XP_396341.3	NonCanon
XM_396382.6	LOC412931	XP_396382.3	NonCanon
XM_396447.6	LOC412996	XP_396447.3	NonCanon
XM_396462.7	LOC413011	XP_396462.2	NonCanon
XM_396561.4	LOC413110	XP_396561.1	NonCanon
XM_396581.7	LOC413130	XP_396581.5	NonCanon
XM_396584.5	LOC413133	XP_396584.2	NonCanon
XM_396630.6	LOC413179	XP_396630.2	NonCanon
XM_396646.7	LOC413196	XP_396646.1	NonCanon
XM_396686.6	LOC413240	XP_396686.2	NonCanon
XM_396696.6	LOC413250	XP_396696.4	NonCanon
XM_396716.7	LOC413271	XP_396716.1	NonCanon
XM_396720.6	LOC413275	XP_396720.2	NonCanon
XM_396750.6	LOC413305	XP_396750.5	NonCanon
XM_396810.7	LOC413365	XP_396810.3	NonCanon
XM_396819.7	LOC413374	XP_396819.2	Canon
XM_396838.6	LOC413394	XP_396838.2	Canon
XM_396855.6	LOC413411	XP_396855.2	Canon
XM_396874.7	LOC413430	XP_396874.5	Canon
XM_396879.6	LOC413435	XP_396879.3	NonCanon
XM_396933.7	LOC413489	XP_396933.1	Canon
XM_396939.6	LOC413495	XP_396939.2	NonCanon
XM_396963.7	LOC413520	XP_396963.2	NonCanon
XM_396972.7	LOC413529	XP_396972.6	NonCanon
XM_397008.5	LOC413567	XP_397008.1	NonCanon
XM_397017.6	LOC413576	XP_397017.3	NonCanon
XM_397043.7	LOC413601	XP_397043.2	NonCanon
XM_397056.7	LOC413614	XP_397056.2	NonCanon
XM_397061.7	LOC413619	XP_397061.1	NonCanon
XM_397085.7	LOC413643	XP_397085.2	NonCanon
XM_397109.6	LOC413668	XP_397109.3	Canon
XM_397113.7	LOC413672	XP_397113.1	NonCanon
XM_397129.7	LOC413688	XP_397129.4	NonCanon
