#CREATED JANUARY 2020, LAUREN MEE, UNIVERSITY OF LIVERPOOL
#LIST OF NCBI TRANSCRIPTS ASSOCIATED WITH IMMUNITY IN APIS MELLIFERA (AmelHAv3.1, GCF_003254395.2) WITH GENE AND PROTEIN IDS, AND "CLASS" (CANON/NONCANON)
#CANONICAL IMMUNITY DETERMINED FROM EVANS ET AL 2006, NCBI BIOSYSTEMS PATHWAY RESOURCES AND USE OF OTHODB
#CANDIDATE NON-CANONICAL IMMUNITY BASED UPON THE COMBINED WORKS OF ALAUX ET AL 2011, RICHARD ET AL 2012 AND DOUBLET ET AL 2017.
TranscriptID	GeneID	ProteinID	Class
XM_003250627.4	LOC100577844	XP_003250675.2	Canon
XM_003250812.4	LOC100576742	XP_003250860.1	Canon
XM_003250817.4	LOC408312	XP_003250865.1	NonCanon
XM_003250827.4	LOC411458	XP_003250875.1	NonCanon
XM_003250851.4	LOC409941	XP_003250899.1	Canon
XM_003250942.4	LOC408791	XP_003250990.1	NonCanon
XM_003250988.4	LOC726289	XP_003251036.1	Canon
XM_003251072.3	LOC726310	XP_003251120.1	NonCanon
XM_003251117.4	LOC409245	XP_003251165.1	NonCanon
XM_003251140.4	LOC410157	XP_003251188.1	NonCanon
XM_003251162.4	LOC100576795	XP_003251210.1	NonCanon
XM_003251250.4	LOC100576706	XP_003251298.1	NonCanon
XM_003251369.4	LOC100577140	XP_003251417.1	NonCanon
XM_003251372.4	LOC100577870	XP_003251420.1	NonCanon
XM_003251387.4	LOC100578450	XP_003251435.2	NonCanon
XM_003251416.4	LOC551176	XP_003251464.1	Canon
XM_003251423.4	LOC552772	XP_003251471.2	NonCanon
XM_003251434.4	LOC100578479	XP_003251482.3	NonCanon
XM_003251456.4	LOC551679	XP_003251504.1	NonCanon
XM_003251545.4	LOC100578782	XP_003251593.1	NonCanon
XM_003251579.4	LOC725238	XP_003251627.1	NonCanon
XM_003251627.3	LOC409055	XP_003251675.1	Canon
XM_003251659.4	LOC726061	XP_003251707.1	NonCanon
XM_003251751.4	LOC552089	XP_003251799.1	NonCanon
XM_003251791.3	LOC100578586	XP_003251839.1	NonCanon
XM_003251812.4	LOC727456	XP_003251860.1	NonCanon
XM_006557208.3	LOC409411	XP_006557271.1	NonCanon
XM_006557239.3	LOC409286	XP_006557302.1	Canon
XM_006557253.3	LOC411365	XP_006557316.1	NonCanon
XM_006557262.3	LOC413242	XP_006557325.2	NonCanon
XM_006557283.3	LOC412547	XP_006557346.1	NonCanon
XM_006557358.3	LOC726609	XP_006557421.1	NonCanon
XM_006557387.3	LOC410663	XP_006557450.1	NonCanon
XM_006557388.1	LOC410664	XP_006557451.1	NonCanon
XM_006557400.3	LOC551448	XP_006557463.3	NonCanon
XM_006557420.1	LOC410289	XP_006557483.1	NonCanon
XM_006557452.1	LOC550701	XP_006557515.1	NonCanon
XM_006557479.3	Cox6c	XP_006557542.1	NonCanon
XM_006557630.3	LOC413699	XP_006557693.1	NonCanon
XM_006557648.3	LOC412465	XP_006557711.2	NonCanon
XM_006557682.3	KAT2A	XP_006557745.2	NonCanon
XM_006557739.3	LOC552756	XP_006557802.1	Canon
XM_006557743.3	LOC727004	XP_006557806.1	NonCanon
XM_006557817.3	LOC102654192	XP_006557880.1	NonCanon
XM_006557838.3	LOC408402	XP_006557901.1	NonCanon
XM_006557931.3	LOC410636	XP_006557994.1	NonCanon
XM_006557978.3	LOC413388	XP_006558041.1	NonCanon
XM_006557980.3	LOC413389	XP_006558043.1	Canon
XM_006558048.3	LOC725194	XP_006558111.1	NonCanon
XM_006558125.3	LOC550869	XP_006558188.1	Canon
XM_006558163.3	LOC413573	XP_006558226.1	NonCanon
XM_006558209.3	LOC724630	XP_006558272.1	NonCanon
XM_006558364.3	LOC102656448	XP_006558427.2	NonCanon
XM_006558365.3	LOC726662	XP_006558428.1	NonCanon
XM_006558388.3	LOC410969	XP_006558451.1	NonCanon
XM_006558394.3	LOC724809	XP_006558457.2	NonCanon
XM_006558411.3	LOC411404	XP_006558474.1	NonCanon
XM_006558426.3	LOC411564	XP_006558489.1	NonCanon
XM_006558474.3	LOC550955	XP_006558537.1	NonCanon
XM_006558482.3	LOC102656183	XP_006558545.1	NonCanon
XM_006558510.3	LOC102654165	XP_006558573.2	NonCanon
XM_006558516.3	LOC410415	XP_006558579.1	Canon
XM_006558523.3	LOC552398	XP_006558586.2	NonCanon
XM_006558532.3	LOC552191	XP_006558595.1	NonCanon
XM_006558583.3	LOC725306	XP_006558646.1	NonCanon
XM_006558585.3	LOC411665	XP_006558648.1	NonCanon
XM_006558610.3	LOC552163	XP_006558673.1	NonCanon
XM_006558618.2	LOC412423	XP_006558681.1	NonCanon
XM_006558670.3	LOC102654312	XP_006558733.1	NonCanon
XM_006558671.3	LOC411054	XP_006558734.1	NonCanon
XM_006558676.3	LOC408819	XP_006558739.1	NonCanon
XM_006558696.3	LOC411519	XP_006558759.1	Canon
XM_006558700.3	LOC726966	XP_006558763.1	NonCanon
