Gene	Class	Gene_Desc	SocOrigin	count	Function.x	Function.y	Function
LOC726167	Canon	 lipopolysaccharide-induced tumor necrosis factor-alpha factor homolog 	Halictid, Meli, Mega, Nova	4	Lysosome	Lysosome	Lysosome
LOC726187	Canon	 AP-1 complex subunit beta-1 	Meli	1	Lysosome	Lysosome	Lysosome
LOC726947	Canon	 TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 	AllOriginEpi, Halictid, Meli	3	Humoral	Toll_IMD	Toll_IMD
LOC726947	Canon	 TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 	AllOriginEpi, Halictid, Meli	3	Humoral	Toll_IMD	Humoral
LOC726947	Canon	 TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 	AllOriginEpi, Halictid, Meli	3	Humoral	Humoral	Toll_IMD
LOC726947	Canon	 TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 	AllOriginEpi, Halictid, Meli	3	Humoral	Humoral	Humoral
LOC726947	Canon	 TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 	AllOriginEpi, Halictid, Meli	3	Toll_IMD	Toll_IMD	Toll_IMD
LOC726947	Canon	 TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 	AllOriginEpi, Halictid, Meli	3	Toll_IMD	Toll_IMD	Humoral
LOC726947	Canon	 TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 	AllOriginEpi, Halictid, Meli	3	Toll_IMD	Humoral	Toll_IMD
LOC726947	Canon	 TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 	AllOriginEpi, Halictid, Meli	3	Toll_IMD	Humoral	Humoral
LOC727396	Canon	 eukaryotic translation initiation factor 2-alpha kinase 	Habro	1	Autophagy	Autophagy	Autophagy
LOC727634	Canon	 activating molecule in BECN1-regulated autophagy protein 1 	Xylo	1	Autophagy	Autophagy	Autophagy
LOC727634	Canon	 activating molecule in BECN1-regulated autophagy protein 1 	AllSol, Mega	2	Autophagy	Autophagy	Autophagy
Tspan6	Canon	 tetraspanin 6 	Mega	1	Lysosome	Lysosome	Lysosome
Tspan6	Canon	 tetraspanin 6 	CorbSoc, Halictid	2	Lysosome	Lysosome	Lysosome
