Desc	Family ID	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
null	ORTHOMCL170	3	2	2	5	1	5	2	2	1	2	3
null	ORTHOMCL171	3	1	3	3	1	1	4	6	2	1	3
null	ORTHOMCL172	2	1	4	5	1	2	4	4	1	1	3
null	ORTHOMCL173	2	1	8	1	8	1	3	1	1	1	1
null	ORTHOMCL174	2	1	4	3	3	3	2	3	1	1	5
null	ORTHOMCL175	2	2	4	6	3	3	3	1	1	1	2
null	ORTHOMCL176	0	1	7	6	5	3	2	2	0	1	1
null	ORTHOMCL177	2	1	3	4	4	6	2	2	1	1	1
null	ORTHOMCL178	4	2	2	2	5	2	2	2	1	2	3
null	ORTHOMCL179	3	2	3	2	4	2	1	2	2	2	4
null	ORTHOMCL180	2	2	3	3	2	2	2	2	1	2	6
null	ORTHOMCL181	3	1	3	3	3	1	3	4	2	2	2
null	ORTHOMCL182	2	2	2	5	5	2	2	2	2	1	2
null	ORTHOMCL183	3	3	4	3	1	1	2	1	3	2	4
null	ORTHOMCL184	3	2	3	3	3	2	3	2	1	2	3
null	ORTHOMCL185	2	2	2	2	5	2	3	1	2	2	4
null	ORTHOMCL186	5	2	2	2	5	2	2	2	2	1	2
null	ORTHOMCL187	2	3	2	4	4	4	2	1	3	2	0
null	ORTHOMCL188	1	1	5	4	1	1	3	1	1	1	8
null	ORTHOMCL189	3	1	1	2	1	1	1	1	1	1	14
null	ORTHOMCL190	2	2	4	4	4	2	2	2	1	2	2
null	ORTHOMCL191	2	2	3	2	2	2	5	3	2	2	2
null	ORTHOMCL192	1	1	3	3	8	3	1	1	1	1	4
null	ORTHOMCL193	2	1	6	5	5	1	3	1	1	1	1
null	ORTHOMCL194	4	1	3	3	4	3	3	3	1	1	1
null	ORTHOMCL195	4	2	3	2	3	2	2	2	2	2	3
null	ORTHOMCL196	1	1	1	5	2	1	3	1	1	1	10
null	ORTHOMCL197	3	1	4	3	3	1	7	1	0	1	3
null	ORTHOMCL198	1	1	1	4	1	1	1	2	1	1	13
null	ORTHOMCL199	1	1	6	7	6	1	1	1	1	1	1
null	ORTHOMCL200	2	2	3	3	5	2	2	2	2	2	2
null	ORTHOMCL201	2	2	3	2	3	3	1	2	4	2	3
null	ORTHOMCL202	1	1	2	10	1	1	5	1	1	1	3
null	ORTHOMCL203	1	1	6	6	4	1	2	2	1	1	2
null	ORTHOMCL204	3	2	3	2	2	3	3	2	2	2	2
null	ORTHOMCL205	5	1	3	4	1	3	1	5	1	1	1
null	ORTHOMCL206	4	5	1	2	1	0	9	1	1	1	1
null	ORTHOMCL207	2	2	2	2	2	3	2	2	1	2	6
null	ORTHOMCL208	4	1	3	3	2	2	2	3	2	2	2
null	ORTHOMCL209	1	2	2	3	2	3	3	5	2	2	1
null	ORTHOMCL210	2	1	4	3	2	2	3	2	2	2	3
null	ORTHOMCL211	1	1	5	6	2	1	1	1	1	1	6
null	ORTHOMCL212	2	2	4	5	2	2	2	2	1	2	2
null	ORTHOMCL213	4	2	3	4	1	3	2	2	3	1	1
null	ORTHOMCL214	2	2	3	3	4	2	2	2	2	1	3
null	ORTHOMCL215	1	1	5	6	6	1	2	1	1	1	1
null	ORTHOMCL216	2	1	2	2	3	2	2	5	2	2	3
null	ORTHOMCL217	3	2	3	3	4	2	2	2	2	2	1
null	ORTHOMCL218	3	1	5	3	4	1	3	3	1	1	1
null	ORTHOMCL219	1	1	3	3	5	1	1	5	1	1	4
null	ORTHOMCL220	1	1	6	5	4	1	1	1	1	1	4
null	ORTHOMCL221	2	1	2	2	2	4	3	4	1	1	4
null	ORTHOMCL222	2	2	2	4	2	2	3	2	3	3	1
null	ORTHOMCL223	1	1	3	3	4	3	7	1	1	1	1
null	ORTHOMCL224	2	2	2	5	3	2	2	3	1	1	3
null	ORTHOMCL225	2	4	1	2	2	3	2	3	3	3	1
null	ORTHOMCL226	3	2	3	2	2	3	2	2	1	2	4
null	ORTHOMCL227	4	3	4	6	2	1	1	1	1	1	2
null	ORTHOMCL228	3	4	2	2	2	2	2	3	1	2	3
null	ORTHOMCL229	2	2	2	3	2	3	2	3	1	2	4
null	ORTHOMCL230	1	1	3	4	2	5	1	5	1	1	2
null	ORTHOMCL231	0	0	1	4	4	5	1	2	3	3	3
null	ORTHOMCL232	0	0	0	0	0	0	0	0	26	0	0
null	ORTHOMCL233	2	2	2	2	5	2	2	2	2	2	2
null	ORTHOMCL234	3	2	1	1	2	3	2	5	2	1	3
null	ORTHOMCL235	2	2	3	2	5	2	2	2	1	2	2
null	ORTHOMCL236	1	1	3	5	4	5	2	1	1	1	1
null	ORTHOMCL237	2	1	5	4	2	3	1	2	1	1	3
